00001;12;26;37;52;66;02;18;27;53;76;09;38;48;61;82
00002;29;40;67;70;85;02;14;48;54;65;13;28;30;75;89
00003;05;16;23;50;67;13;35;42;79;85;03;22;31;51;77
00004;02;10;29;67;80;37;42;57;63;81;13;26;36;46;70
00005;35;57;69;75;88;06;16;23;44;80;08;45;51;65;79
00006;03;11;32;70;81;39;41;53;67;78;01;22;43;58;80
00007;05;34;42;54;61;13;23;36;55;76;01;16;21;72;81
00008;04;23;39;41;65;07;15;50;78;80;18;24;42;71;85
00009;01;10;51;60;78;02;17;20;38;65;39;47;57;75;89
00010;07;26;52;75;88;06;17;46;62;89;11;33;42;63;79
00011;16;40;56;61;82;04;27;32;44;75;22;35;51;60;89
00012;25;39;49;71;86;22;36;45;53;61;02;13;50;63;84
00013;19;21;43;65;82;01;40;64;76;88;03;10;25;31;54
00014;06;12;34;43;81;02;26;57;61;77;13;53;66;75;87
00015;09;12;30;59;60;10;21;36;45;80;06;27;44;73;82
00016;20;34;54;78;89;07;16;32;56;84;08;24;45;63;76
00017;29;33;57;60;78;08;11;38;45;67;13;42;51;74;83
00018;12;32;43;57;86;20;41;59;61;78;01;21;35;62;70
00019;01;12;34;60;82;07;29;43;53;77;16;32;58;66;80
00020;10;25;49;67;79;01;24;32;61;82;05;11;48;56;72
00021;21;30;46;61;72;05;18;20;34;74;03;48;51;66;83
00022;09;23;30;41;86;10;32;54;69;74;03;19;40;55;83
00023;07;47;50;70;88;17;22;34;60;84;23;32;41;53;76
00024;06;26;60;73;80;10;35;55;77;82;17;20;42;57;68
00025;01;12;20;39;40;17;38;44;61;83;02;55;65;72;84
00026;24;39;66;71;83;03;15;36;43;54;18;21;51;64;75
00027;03;14;26;44;68;25;40;54;75;89;08;33;55;77;81
00028;42;50;62;75;83;1201;21;33;51;63;09;14;20;30;81
00029;10;27;35;46;68;02;39;56;67;77;03;13;40;74;86
00030;14;23;46;50;73;06;17;64;74;90;22;32;45;51;86
00031;09;37;51;66;80;04;13;23;40;74;25;35;47;61;84
00032;02;18;23;65;73;09;34;44;51;89;10;35;49;59;61
00033;28;44;52;63;84;07;16;34;43;73;18;25;58;79;86
00034;05;10;24;55;85;36;41;60;72;83;04;12;33;65;73
00035;01;29;38;72;81;14;46;51;65;74;08;21;55;63;80
00036;01;37;43;52;75;10;22;35;44;51;11;21;69;71;84
00037;05;11;39;54;75;01;27;41;60;83;15;21;38;63;78
00038;01;15;25;48;59;13;31;61;72;84;08;37;43;74;82
00039;01;15;44;66;76;09;22;36;51;86;12;29;40;52;88
00040;12;47;66;70;86;06;21;32;44;57;16;24;59;69;81
00041;02;35;41;69;77;12;29;36;59;82;28;51;62;74;86
00042;08;28;42;54;67;10;39;45;59;72;02;36;62;74;84
00043;13;27;33;59;60;03;19;28;55;77;04;36;41;62;90
00044;26;48;65;72;86;05;16;49;55;66;13;20;31;73;82
00045;07;19;21;51;60;14;32;44;71;80;06;20;38;53;79
00046;04;12;22;63;81;38;45;56;67;82;13;20;39;44;74
00047;34;59;60;73;80;08;18;21;41;83;09;47;53;61;74
00048;07;15;35;71;89;30;42;54;65;79;04;24;48;50;82
00049;04;33;47;55;62;18;24;30;56;75;03;10;25;70;83
00050;03;21;31;44;64;07;14;52;78;80;19;20;41;72;89
00051;02;16;54;63;77;09;17;22;35;67;38;45;56;79;80
00052;04;23;59;73;87;05;16;41;69;82;10;33;45;64;72
00053;19;49;58;62;90;06;23;34;46;70;22;31;56;67;81
00054;25;35;43;76;89;28;36;48;53;62;05;12;51;64;85
00055;19;26;41;64;83;07;42;61;70;89;04;10;23;31;52
